instance_id,model,seed,dataset_count,memory_level,memory_ratio,memory_capacity,total_dataset_size,memory_utilization_ratio,travel_time_per_edge,average_travel_time_per_edge,total_one_way_travel_time,battery_capacity_multiplier,optimistic_minimum_energy,battery_capacity,battery_headroom,terrain_profiles,terrain_edges,corruption_level,safe_dataset_count,unsafe_dataset_count,all_datasets_theoretically_safe,dataset_sizes,encoding_times,corruption_margins,loss_times,status,solved,planner,timeout_seconds,wall_runtime_seconds,return_code,reported_plan_length,reported_elapsed_time,plan_makespan,travel_time_in_plan,estimated_travel_time,stationary_time,energy_used,battery_remaining,battery_utilization_ratio,battery_feasible,route_metrics_valid,action_count,move_actions,collect_actions,offload_actions,waiting_periods,total_waiting_time,problem_file,metadata_file,raw_output_file,error_message
rover-battery-n2-mem-low-corr-low-seed-0,battery,0,2,low,0.45,5.0,10.0,2.0,,1.5,3.0,5.0,8.0,40,32.0,"[""easy"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",low,2,0,True,"[5, 5]","[2, 4]","[14.0, 14.0]","[16.0, 18.0]",solved,True,sat-hadd,30.0,0.394599,0,36,18.0,18.0,9.0,9.0,9.0,12.0,28.0,0.3,True,True,10,6,2,2,8,18.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-low-corr-low-seed-0.txt,
rover-battery-n2-mem-low-corr-low-seed-1,battery,1,2,low,0.45,6.0,9.0,1.5,,2.5,5.0,2.5,16.0,40,24.0,"[""steep"", ""moderate""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}]",low,2,0,True,"[3, 6]","[2, 4]","[12.0, 10.0]","[15.0, 15.0]",solved,True,sat-hadd,30.0,0.414152,0,36,18.0,18.0,16.0,16.0,2.0,26.0,14.0,0.65,True,True,10,6,2,2,6,18.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-low-seed-1.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-low-seed-1.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-low-corr-low-seed-1.txt,
rover-battery-n2-mem-low-corr-low-seed-2,battery,2,2,low,0.45,2.0,4.0,2.0,,2.0,4.0,3.3333333333333335,12.0,40,28.0,"[""easy"", ""rocky""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""rocky"", ""travel_time"": 2.5, ""energy_cost"": 4.0}]",low,2,0,True,"[2, 2]","[2, 4]","[12.0, 10.0]","[14.0, 14.0]",solved,True,sat-hadd,30.0,0.362532,0,38,20.0,20.0,11.0,11.0,9.0,16.0,24.0,0.4,True,True,10,6,2,2,8,20.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-low-seed-2.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-low-seed-2.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-low-corr-low-seed-2.txt,
rover-battery-n2-mem-low-corr-low-seed-3,battery,3,2,low,0.45,6.0,9.0,1.5,,2.75,5.5,2.2222222222222223,18.0,40,22.0,"[""steep"", ""rocky""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""rocky"", ""travel_time"": 2.5, ""energy_cost"": 4.0}]",low,2,0,True,"[3, 6]","[3, 4]","[12.0, 14.0]","[15.0, 19.5]",solved,True,sat-hadd,30.0,0.433865,0,43,25.0,25.0,17.0,17.0,8.0,28.0,12.0,0.7,True,True,10,6,2,2,8,25.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-low-seed-3.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-low-seed-3.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-low-corr-low-seed-3.txt,
rover-battery-n2-mem-low-corr-low-seed-4,battery,4,2,low,0.45,4.0,7.0,1.75,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",low,2,0,True,"[3, 4]","[2, 5]","[12.0, 10.0]","[15.0, 15.0]",solved,True,sat-hadd,30.0,0.432562,0,37,19.0,19.0,15.0,15.0,4.0,24.0,16.0,0.6,True,True,10,6,2,2,6,19.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-low-seed-4.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-low-seed-4.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-low-corr-low-seed-4.txt,
rover-battery-n2-mem-low-corr-medium-seed-0,battery,0,2,low,0.45,5.0,10.0,2.0,,1.5,3.0,5.0,8.0,40,32.0,"[""easy"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",medium,2,0,True,"[5, 5]","[2, 4]","[10.0, 10.0]","[12.0, 14.0]",solved,True,sat-hadd,30.0,0.362256,0,36,18.0,18.0,9.0,9.0,9.0,12.0,28.0,0.3,True,True,10,6,2,2,8,18.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-low-corr-medium-seed-0.txt,
rover-battery-n2-mem-low-corr-medium-seed-1,battery,1,2,low,0.45,6.0,9.0,1.5,,2.5,5.0,2.5,16.0,40,24.0,"[""steep"", ""moderate""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}]",medium,2,0,True,"[3, 6]","[2, 4]","[8.0, 6.0]","[11.0, 11.0]",solved,True,sat-hadd,30.0,0.383638,0,36,18.0,18.0,16.0,16.0,2.0,26.0,14.0,0.65,True,True,10,6,2,2,6,18.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-medium-seed-1.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-medium-seed-1.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-low-corr-medium-seed-1.txt,
rover-battery-n2-mem-low-corr-medium-seed-2,battery,2,2,low,0.45,2.0,4.0,2.0,,2.0,4.0,3.3333333333333335,12.0,40,28.0,"[""easy"", ""rocky""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""rocky"", ""travel_time"": 2.5, ""energy_cost"": 4.0}]",medium,2,0,True,"[2, 2]","[2, 4]","[8.0, 6.0]","[10.0, 10.0]",solved,True,sat-hadd,30.0,0.380835,0,38,20.0,20.0,11.0,11.0,9.0,16.0,24.0,0.4,True,True,10,6,2,2,8,20.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-medium-seed-2.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-medium-seed-2.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-low-corr-medium-seed-2.txt,
rover-battery-n2-mem-low-corr-medium-seed-3,battery,3,2,low,0.45,6.0,9.0,1.5,,2.75,5.5,2.2222222222222223,18.0,40,22.0,"[""steep"", ""rocky""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""rocky"", ""travel_time"": 2.5, ""energy_cost"": 4.0}]",medium,2,0,True,"[3, 6]","[3, 4]","[8.0, 10.0]","[11.0, 15.5]",solved,True,sat-hadd,30.0,0.426563,0,45,27.0,27.0,17.0,17.0,10.0,28.0,12.0,0.7,True,True,10,6,2,2,6,27.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-medium-seed-3.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-medium-seed-3.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-low-corr-medium-seed-3.txt,
rover-battery-n2-mem-low-corr-medium-seed-4,battery,4,2,low,0.45,4.0,7.0,1.75,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",medium,2,0,True,"[3, 4]","[2, 5]","[8.0, 6.0]","[11.0, 11.0]",solved,True,sat-hadd,30.0,0.478519,0,37,19.0,19.0,15.0,15.0,4.0,24.0,16.0,0.6,True,True,10,6,2,2,6,19.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-medium-seed-4.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-medium-seed-4.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-low-corr-medium-seed-4.txt,
rover-battery-n2-mem-low-corr-high-seed-0,battery,0,2,low,0.45,5.0,10.0,2.0,,1.5,3.0,5.0,8.0,40,32.0,"[""easy"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",high,2,0,True,"[5, 5]","[2, 4]","[5.0, 5.0]","[7.0, 9.0]",solved,True,sat-hadd,30.0,0.373452,0,36,18.0,18.0,9.0,9.0,9.0,12.0,28.0,0.3,True,True,10,6,2,2,8,18.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-high-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-high-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-low-corr-high-seed-0.txt,
rover-battery-n2-mem-low-corr-high-seed-1,battery,1,2,low,0.45,6.0,9.0,1.5,,2.5,5.0,2.5,16.0,40,24.0,"[""steep"", ""moderate""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}]",high,2,0,True,"[3, 6]","[2, 4]","[4.0, 3.0]","[7.0, 8.0]",solved,True,sat-hadd,30.0,0.390333,0,36,18.0,18.0,16.0,16.0,2.0,26.0,14.0,0.65,True,True,10,6,2,2,6,18.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-high-seed-1.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-high-seed-1.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-low-corr-high-seed-1.txt,
rover-battery-n2-mem-low-corr-high-seed-2,battery,2,2,low,0.45,2.0,4.0,2.0,,2.0,4.0,3.3333333333333335,12.0,40,28.0,"[""easy"", ""rocky""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""rocky"", ""travel_time"": 2.5, ""energy_cost"": 4.0}]",high,2,0,True,"[2, 2]","[2, 4]","[4.0, 3.0]","[6.0, 7.0]",solved,True,sat-hadd,30.0,0.376408,0,35,17.0,17.0,11.0,11.0,6.0,16.0,24.0,0.4,True,True,10,6,2,2,8,17.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-high-seed-2.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-high-seed-2.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-low-corr-high-seed-2.txt,
rover-battery-n2-mem-low-corr-high-seed-3,battery,3,2,low,0.45,6.0,9.0,1.5,,2.75,5.5,2.2222222222222223,18.0,40,22.0,"[""steep"", ""rocky""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""rocky"", ""travel_time"": 2.5, ""energy_cost"": 4.0}]",high,2,0,True,"[3, 6]","[3, 4]","[4.0, 5.0]","[7.0, 10.5]",solved,True,sat-hadd,30.0,0.398692,0,40,22.0,22.0,17.0,17.0,5.0,28.0,12.0,0.7,True,True,10,6,2,2,6,22.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-high-seed-3.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-high-seed-3.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-low-corr-high-seed-3.txt,
rover-battery-n2-mem-low-corr-high-seed-4,battery,4,2,low,0.45,4.0,7.0,1.75,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",high,2,0,True,"[3, 4]","[2, 5]","[4.0, 3.0]","[7.0, 8.0]",solved,True,sat-hadd,30.0,0.396718,0,36,18.0,18.0,15.0,15.0,3.0,24.0,16.0,0.6,True,True,10,6,2,2,6,18.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-high-seed-4.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-low-corr-high-seed-4.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-low-corr-high-seed-4.txt,
rover-battery-n2-mem-medium-corr-low-seed-0,battery,0,2,medium,0.7,7.0,10.0,1.428571,,1.5,3.0,5.0,8.0,40,32.0,"[""easy"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",low,2,0,True,"[5, 5]","[2, 4]","[14.0, 14.0]","[16.0, 18.0]",solved,True,sat-hadd,30.0,0.41118,0,36,18.0,18.0,9.0,9.0,9.0,12.0,28.0,0.3,True,True,10,6,2,2,8,18.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-medium-corr-low-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-medium-corr-low-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-medium-corr-low-seed-0.txt,
rover-battery-n2-mem-medium-corr-low-seed-1,battery,1,2,medium,0.7,7.0,9.0,1.285714,,2.5,5.0,2.5,16.0,40,24.0,"[""steep"", ""moderate""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}]",low,2,0,True,"[3, 6]","[2, 4]","[12.0, 10.0]","[15.0, 15.0]",solved,True,sat-hadd,30.0,0.442659,0,36,18.0,18.0,16.0,16.0,2.0,26.0,14.0,0.65,True,True,10,6,2,2,6,18.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-medium-corr-low-seed-1.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-medium-corr-low-seed-1.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-medium-corr-low-seed-1.txt,
rover-battery-n2-mem-medium-corr-low-seed-2,battery,2,2,medium,0.7,3.0,4.0,1.333333,,2.0,4.0,3.3333333333333335,12.0,40,28.0,"[""easy"", ""rocky""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""rocky"", ""travel_time"": 2.5, ""energy_cost"": 4.0}]",low,2,0,True,"[2, 2]","[2, 4]","[12.0, 10.0]","[14.0, 14.0]",solved,True,sat-hadd,30.0,0.395218,0,38,20.0,20.0,11.0,11.0,9.0,16.0,24.0,0.4,True,True,10,6,2,2,8,20.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-medium-corr-low-seed-2.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-medium-corr-low-seed-2.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-medium-corr-low-seed-2.txt,
rover-battery-n2-mem-medium-corr-low-seed-3,battery,3,2,medium,0.7,7.0,9.0,1.285714,,2.75,5.5,2.2222222222222223,18.0,40,22.0,"[""steep"", ""rocky""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""rocky"", ""travel_time"": 2.5, ""energy_cost"": 4.0}]",low,2,0,True,"[3, 6]","[3, 4]","[12.0, 14.0]","[15.0, 19.5]",solved,True,sat-hadd,30.0,0.430141,0,43,25.0,25.0,17.0,17.0,8.0,28.0,12.0,0.7,True,True,10,6,2,2,8,25.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-medium-corr-low-seed-3.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-medium-corr-low-seed-3.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-medium-corr-low-seed-3.txt,
rover-battery-n2-mem-medium-corr-low-seed-4,battery,4,2,medium,0.7,5.0,7.0,1.4,,2.25,4.5,2.857142857142857,14.0,40,26.0,"[""steep"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",low,2,0,True,"[3, 4]","[2, 5]","[12.0, 10.0]","[15.0, 15.0]",solved,True,sat-hadd,30.0,0.48763,0,37,19.0,19.0,15.0,15.0,4.0,24.0,16.0,0.6,True,True,10,6,2,2,6,19.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-medium-corr-low-seed-4.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-medium-corr-low-seed-4.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-medium-corr-low-seed-4.txt,
rover-battery-n2-mem-medium-corr-medium-seed-0,battery,0,2,medium,0.7,7.0,10.0,1.428571,,1.5,3.0,5.0,8.0,40,32.0,"[""easy"", ""easy""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}]",medium,2,0,True,"[5, 5]","[2, 4]","[10.0, 10.0]","[12.0, 14.0]",solved,True,sat-hadd,30.0,0.390416,0,36,18.0,18.0,9.0,9.0,9.0,12.0,28.0,0.3,True,True,10,6,2,2,8,18.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-medium-corr-medium-seed-0.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-medium-corr-medium-seed-0.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-medium-corr-medium-seed-0.txt,
rover-battery-n2-mem-medium-corr-medium-seed-1,battery,1,2,medium,0.7,7.0,9.0,1.285714,,2.5,5.0,2.5,16.0,40,24.0,"[""steep"", ""moderate""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""steep"", ""travel_time"": 3.0, ""energy_cost"": 5.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""moderate"", ""travel_time"": 2.0, ""energy_cost"": 3.0}]",medium,2,0,True,"[3, 6]","[2, 4]","[8.0, 6.0]","[11.0, 11.0]",solved,True,sat-hadd,30.0,0.4035,0,36,18.0,18.0,16.0,16.0,2.0,26.0,14.0,0.65,True,True,10,6,2,2,6,18.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-medium-corr-medium-seed-1.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-medium-corr-medium-seed-1.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-medium-corr-medium-seed-1.txt,
rover-battery-n2-mem-medium-corr-medium-seed-2,battery,2,2,medium,0.7,3.0,4.0,1.333333,,2.0,4.0,3.3333333333333335,12.0,40,28.0,"[""easy"", ""rocky""]","[{""from"": ""base"", ""to"": ""site1"", ""profile"": ""easy"", ""travel_time"": 1.5, ""energy_cost"": 2.0}, {""from"": ""site1"", ""to"": ""site2"", ""profile"": ""rocky"", ""travel_time"": 2.5, ""energy_cost"": 4.0}]",medium,2,0,True,"[2, 2]","[2, 4]","[8.0, 6.0]","[10.0, 10.0]",solved,True,sat-hadd,30.0,0.390301,0,38,20.0,20.0,11.0,11.0,9.0,16.0,24.0,0.4,True,True,10,6,2,2,8,20.0,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-medium-corr-medium-seed-2.pddl,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/generated_problems/battery_full_calibration/rover-battery-n2-mem-medium-corr-medium-seed-2.json,/mnt/c/Users/Endri/Desktop/planetary-rover-experimental-study/experiments/raw_outputs/battery_full_calibration/rover-battery-n2-mem-medium-corr-medium-seed-2.txt,
